,disease,microbe,increased
0,50863,33211,1
1,43621,40832,1
2,33293,47880,1
3,13213,53186,1
4,33293,14909,1
5,33293,35937,1
6,12403,26565,1
7,43621,57454,1
8,43621,63599,1
9,43621,14120,1
10,43621,20754,1
11,50863,54366,1
12,33293,878,1
13,33293,27935,1
14,43621,44316,1
15,33293,13682,1
16,50863,46605,1
17,33293,56727,1
18,25026,32506,1
19,13213,58532,1
20,59444,7093,1
21,43621,61711,1
22,50436,5427,1
23,12403,8488,1
24,54370,30750,1
25,43621,56106,1
26,44112,61711,1
27,43621,37392,1
28,43621,54098,1
29,48777,7093,1
30,654,19319,1
31,40873,18765,1
32,12403,32606,1
33,12403,45746,1
34,7877,32606,1
35,43621,27509,1
36,33293,58532,1
37,43621,56210,1
38,59444,14120,1
39,50436,42577,1
40,43621,34763,1
41,43621,13000,1
42,43621,19172,1
43,50863,65017,1
44,43621,3195,1
45,43621,44108,1
46,44112,61356,1
47,43621,32921,1
48,43621,25804,1
49,59444,926,1
50,12403,7506,1
51,43621,9949,1
52,48777,35905,1
53,13213,5344,1
54,12403,12541,1
55,43621,65885,1
56,43621,33701,1
57,654,46268,1
58,43621,3965,1
59,7877,33211,1
60,43621,57617,1
61,43621,59577,1
62,43621,10565,1
63,44112,431,1
64,50863,36028,1
65,13213,57903,1
66,11153,7093,1
67,654,12824,1
68,9724,13682,1
69,59444,20724,1
70,43621,8218,1
71,33293,39272,1
72,20066,58532,1
73,13213,5508,1
74,7877,926,1
75,33293,54932,1
76,43621,4739,1
77,654,31268,1
78,43621,30212,1
79,43621,62257,1
80,12403,42514,1
81,43621,55588,1
82,44991,29241,1
83,12403,60226,1
84,33293,23832,1
85,43621,6993,1
86,43621,926,1
87,25026,32606,1
88,43621,3157,1
89,33293,57280,1
90,33293,32044,1
91,33293,53155,1
92,43621,39335,1
93,50863,31268,1
94,44112,40800,1
95,43621,30654,1
96,43621,4707,1
97,43621,19458,1
98,43621,55203,1
99,43621,8766,1
100,33293,53656,1
101,20066,61711,1
102,33293,59489,1
103,33293,49992,1
104,33293,35590,1
105,12403,15620,1
106,43621,7114,1
107,33293,14286,1
108,43621,7516,1
109,43621,5396,1
110,20066,8488,1
111,12403,35590,1
112,11153,37477,1
113,12403,29422,1
114,43621,15014,1
115,40873,39226,1
116,33293,57582,1
117,44112,49054,1
118,44112,60583,1
119,43621,148,1
120,33293,46117,1
121,20066,45697,1
122,50436,59776,1
123,33293,8480,1
124,50863,14120,1
125,7877,1743,1
126,43621,32631,1
127,12403,20754,1
128,43621,4683,1
129,13213,7093,1
130,54370,29163,1
