,type,name,id
0,Compound,CHEBI:74510,0
1,Gene,10584,1
2,Metabolite,HMDB0075603,2
3,Gene,79134,3
4,Disease,DOID:12306,4
5,Gene,81509,5
6,Gene,84326,6
7,Gene,9392,7
8,Compound,DB00378,8
9,Gene,2048,9
10,Disease,Iminoglycinuria,10
11,Disease,MESH:D007593,11
12,Gene,389421,12
13,Microbe,TAXONOMY:1140002,13
14,Compound,DB00153,14
15,Gene,2632,15
16,Gene,2642,16
17,Metabolite,HMDB0074975,17
18,Compound,MESH:C119130,18
19,Symptom,D001072,19
20,Disease,MESH:D000370,20
21,Gene,855532,21
22,Gene,282679,22
23,Metabolite,HMDB0072998,23
24,Gene,79868,24
25,Gene,58835,25
26,Symptom,D009133,26
27,Metabolite,HMDB0073512,27
28,Metabolite,HMDB0079349,28
29,Gene,338442,29
30,Metabolite,HMDB0084080,30
31,Disease,MESH:D020158,31
32,Anatomy,UBERON:0001103,32
33,Metabolite,HMDB0089716,33
34,Gene,2960,34
35,Metabolite,HMDB0084495,35
36,Metabolite,HMDB0083792,36
37,Gene,102126955,37
38,Disease,MESH:D008201,38
39,Metabolite,HMDB0005801,39
40,Gene,11337,40
41,Metabolite,HMDB0087828,41
42,Compound,MESH:D036145,42
43,Compound,MESH:C097802,43
44,Microbe,TAXONOMY:1009846,44
45,Metabolite,HMDB0084906,45
46,Gene,2556,46
47,Metabolite,HMDB0087667,47
48,Gene,18211,48
49,Metabolite,HMDB0088948,49
50,Metabolite,HMDB0085730,50
51,Gene,10771,51
52,Gene,9859,52
53,Metabolite,HMDB0073635,53
54,Compound,MESH:D001624,54
55,Gene,56675,55
56,Metabolite,HMDB0088171,56
57,Metabolite,HMDB0081034,57
58,Compound,DB01495,58
59,Gene,134526,59
60,Gene,26190,60
61,Metabolite,HMDB0078533,61
62,Metabolite,HMDB0080018,62
63,Metabolite,HMDB0004824,63
64,Compound,DB09231,64
65,Gene,20525,65
66,Gene,3558;7124,66
67,Metabolite,HMDB0089470,67
68,Gene,6239,68
69,Gene,9922,69
70,Compound,MESH:C089032,70
71,Gene,3231,71
72,Metabolite,HMDB0091238,72
73,Metabolite,HMDB0091197,73
74,Microbe,TAXONOMY:1133563,74
75,Compound,DB09130,75
76,Metabolite,HMDB0078847,76
77,Gene,2734883,77
78,Metabolite,HMDB0082141,78
79,Disease,MESH:D011697,79
80,Gene,12741,80
81,Metabolite,HMDB0085356,81
